cumulative_distance,route,average_ttime,scenario_name,year,year_scenario,vehicle_type,hour
156.18,Morningside SB,0.27214229048061367,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
212.25,Morningside SB,0.35419594901719903,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
240.99,Morningside SB,0.39525309187434193,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
303.3,Morningside SB,0.4802212736925237,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
365.06,Morningside SB,0.5574212736925237,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
372.68,Morningside SB,0.5665652736925237,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
394.78,Morningside SB,0.5936264981823195,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
410.67,Morningside SB,0.6134889981823196,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
424.66,Morningside SB,0.6309764981823196,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
445.09,Morningside SB,0.6565139981823196,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
463.14,Morningside SB,0.6790764981823195,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
480.87,Morningside SB,0.7012389981823196,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
539.58,Morningside SB,0.773128794100687,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
587.33,Morningside SB,0.8293052646889224,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
649.22,Morningside SB,0.9021170293948046,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
0,Morningside SB,0.0,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
38.73,Morningside SB,0.07261874999999998,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
48.2,Morningside SB,0.090375,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
74.04,Morningside SB,0.138825,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
80.11,Morningside SB,0.15020624999999999,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
84.75,Morningside SB,0.15890624999999997,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
89.39,Morningside SB,0.16760624999999998,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
109.9,Morningside SB,0.2048971590909091,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
133.03,Morningside SB,0.24344715909090908,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
144.6,Morningside SB,0.2617155801435407,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
156.18,Morningside SB,0.2790855801435407,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
212.25,Morningside SB,0.36113923868012604,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
240.99,Morningside SB,0.40319777526549194,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
303.3,Morningside SB,0.49014196131200355,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
